rule,type,kernel,active,biome,notes,tminus2,tminus1,t,tplus1,tplus2,result
RG01,RP,3,1,AMAZONIA,,null,27,3,3,null,3
RG02,RP,3,1,AMAZONIA,,null,27,4,4,null,4
RG03,RP,3,1,AMAZONIA,,null,27,12,12,null,12
RG04,RP,3,1,AMAZONIA,,null,27,15,15,null,15
RG05,RP,3,1,AMAZONIA,,null,27,19,19,null,19
RG06,RP,3,1,AMAZONIA,,null,27,33,33,null,33
RG07,RU,3,1,AMAZONIA,,null,3,3,27,null,3
RG08,RU,3,1,AMAZONIA,,null,4,4,27,null,4
RG09,RU,3,1,AMAZONIA,,null,12,12,27,null,12
RG10,RU,3,1,AMAZONIA,,null,15,15,27,null,15
RG11,RU,3,1,AMAZONIA,,null,19,19,27,null,19
RG12,RU,3,1,AMAZONIA,,null,33,33,27,null,33
RG13,RG,3,1,AMAZONIA,,null,3,27,3,null,3
RG14,RG,3,1,AMAZONIA,,null,4,27,4,null,4
RG15,RG,3,1,AMAZONIA,,null,12,27,12,null,12
RG16,RG,3,1,AMAZONIA,,null,15,27,15,null,15
RG17,RG,3,1,AMAZONIA,,null,19,27,19,null,19
RG18,RG,3,1,AMAZONIA,,null,33,27,33,null,33
RG19,RG,3,1,AMAZONIA,,null,3,4,3,null,3
RG20,RG,3,1,AMAZONIA,,null,3,12,3,null,3
RG21,RG,3,1,AMAZONIA,,null,3,15,3,null,3
RG22,RG,3,1,AMAZONIA,,null,3,19,3,null,3
RG23,RG,3,1,AMAZONIA,,null,3,33,3,null,3
RG24,RG,3,1,AMAZONIA,,null,4,3,4,null,4
RG25,RG,3,1,AMAZONIA,,null,4,12,4,null,4
RG26,RG,3,1,AMAZONIA,,null,4,15,4,null,4
RG27,RG,3,1,AMAZONIA,,null,4,19,4,null,4
RG28,RG,3,1,AMAZONIA,,null,4,33,4,null,4
RG29,RG,3,1,AMAZONIA,,null,12,3,12,null,12
RG30,RG,3,1,AMAZONIA,,null,12,4,12,null,12
RG31,RG,3,1,AMAZONIA,,null,12,15,12,null,12
RG32,RG,3,1,AMAZONIA,,null,12,19,12,null,12
RG33,RG,3,1,AMAZONIA,,null,12,33,12,null,12
RG34,RG,3,1,AMAZONIA,,null,15,3,15,null,15
RG35,RG,3,1,AMAZONIA,,null,15,4,15,null,15
RG36,RG,3,1,AMAZONIA,,null,15,12,15,null,15
RG37,RG,3,1,AMAZONIA,,null,15,19,15,null,15
RG38,RG,3,1,AMAZONIA,,null,15,33,15,null,15
RG39,RG,3,1,AMAZONIA,,null,19,3,19,null,19
RG40,RG,3,1,AMAZONIA,,null,19,4,19,null,19
RG41,RG,3,1,AMAZONIA,,null,19,12,19,null,19
RG42,RG,3,1,AMAZONIA,,null,19,15,19,null,19
RG43,RG,3,1,AMAZONIA,,null,19,33,19,null,19
RG44,RG,3,1,AMAZONIA,,null,33,3,33,null,33
RG45,RG,3,1,AMAZONIA,,null,33,4,33,null,33
RG46,RG,3,1,AMAZONIA,,null,33,12,33,null,33
RG47,RG,3,1,AMAZONIA,,null,33,15,33,null,33
RG48,RG,3,1,AMAZONIA,,null,33,19,33,null,33
NR*,RG,5,1,AMAZONIA,,3,3,4,15,15,15
NR*,RG,5,1,AMAZONIA,,3,3,12,15,15,15
